DATE,TIME (GMT),LAT. (N),LONG. (E),DEPTH (km),MAGNITUDE (Local)
2022 MAR 18,10 46 12.7,38.4142,22.2743,18,2.0
2022 MAR 18,11 04 40.2,38.3702,22.2313,13,1.1
2022 MAR 18,11 14 13.4,37.5540,20.3897,14,2.3
2022 MAR 18,12 12 57.5,35.1265,25.1967,10,2.0
2022 MAR 18,12 43 45.7,37.2322,21.4421,21,2.0
2022 MAR 18,13 53 03.0,38.3263,22.3421,14,1.4
2022 MAR 18,15 35 54.5,38.4476,22.3691,10,1.8
2022 MAR 18,18 18 59.0,38.4132,22.2771,12,1.6
2022 MAR 18,18 57 17.6,38.0914,23.8824,22,1.6
2022 MAR 18,20 36 13.3,35.3142,23.5405,18,2.4
2022 MAR 18,22 22 46.5,35.1425,25.2658,10,2.1
2022 MAR 18,22 25 52.8,37.4364,22.1855,17,2.9
2022 MAR 18,23 06 35.3,37.0830,21.7653,26,2.6
2022 MAR 19,00 24 57.0,36.0223,22.0258,13,3.2
2022 MAR 19,00 34 18.8,35.9894,22.0221,10,2.9
2022 MAR 19,01 20 28.9,36.7891,21.8001,15,3.2
2022 MAR 19,01 22 54.1,40.3967,26.9495,12,2.6
2022 MAR 19,02 07 44.2,34.9297,25.3148,10,2.0
2022 MAR 19,03 51 57.2,35.6296,27.0657,6,3.0
2022 MAR 19,10 08 58.5,34.6573,23.2608,9,3.3
2022 MAR 19,10 17 11.6,38.2938,23.3762,9,1.7
2022 MAR 19,10 40 40.2,35.1485,25.3047,9,4.1
2022 MAR 19,12 09 12.2,35.1942,25.3157,6,2.8
2022 MAR 19,12 35 55.8,35.1576,25.3056,10,3.2
2022 MAR 19,12 50 54.9,35.1714,25.3249,6,2.6
2022 MAR 19,13 32 02.7,38.4036,22.0633,5,1.8
2022 MAR 19,13 40 23.1,35.1718,25.3244,6,2.2
2022 MAR 19,14 47 37.4,35.1663,25.3189,6,2.5
2022 MAR 19,15 43 34.4,38.2750,23.4306,17,1.2
2022 MAR 19,16 19 31.9,35.1704,25.3185,6,1.8
2022 MAR 19,16 27 24.0,39.8172,22.0248,11,3.1
2022 MAR 19,18 19 34.0,39.8039,20.6776,18,3.2
2022 MAR 19,20 01 39.3,35.1622,25.3166,6,1.9
2022 MAR 19,20 19 08.8,38.2796,23.3803,5,0.7
2022 MAR 19,20 38 45.9,39.4633,23.6989,16,2.0
2022 MAR 19,20 46 06.1,35.1581,25.3107,6,2.9
2022 MAR 19,20 55 07.2,38.0205,23.2439,19,1.7
2022 MAR 19,20 56 53.2,35.1695,25.3166,6,2.5
2022 MAR 19,20 57 38.3,35.1627,25.3207,7,2.7
2022 MAR 19,21 00 24.6,35.1654,25.3143,6,2.2
2022 MAR 19,21 46 10.0,35.1768,25.3075,5,1.9
2022 MAR 19,21 48 43.6,35.1668,25.3130,5,1.9
2022 MAR 19,22 09 18.7,35.1883,25.3116,8,1.9
2022 MAR 19,22 12 08.5,35.0052,23.2590,27,2.6
2022 MAR 19,22 12 35.0,35.1329,25.2708,7,1.3
2022 MAR 19,22 16 12.4,37.3988,21.0374,15,2.2
2022 MAR 19,22 52 11.9,37.8493,21.9978,15,2.2
2022 MAR 19,23 01 37.4,37.3338,22.0967,13,2.1
2022 MAR 19,23 19 41.4,35.1778,25.3139,8,1.4
2022 MAR 19,23 21 31.7,35.1659,25.3139,6,1.7
2022 MAR 19,23 33 34.9,35.1714,25.3102,7,1.6
2022 MAR 20,00 04 17.5,35.1668,25.3175,5,1.4
2022 MAR 20,01 01 41.6,38.3244,23.3061,8,2.0
2022 MAR 20,01 20 24.1,36.0452,22.4240,12,2.5
2022 MAR 20,01 21 03.4,38.3093,23.3386,8,1.3
2022 MAR 20,01 21 04.6,36.9383,22.0335,8,2.5
2022 MAR 20,01 40 14.9,35.1682,25.3079,5,2.7
2022 MAR 20,01 43 58.9,35.1677,25.2425,10,1.7
2022 MAR 20,02 30 11.6,39.0646,23.2260,13,1.8
2022 MAR 20,02 30 36.4,39.0825,23.2164,13,1.7
2022 MAR 20,02 30 44.9,38.4425,21.8147,11,1.0
2022 MAR 20,02 39 19.0,35.1686,25.3203,6,1.5
2022 MAR 20,02 39 50.9,37.5114,20.6575,15,2.2
2022 MAR 20,02 45 45.4,40.0177,24.2377,22,1.8
2022 MAR 20,05 08 15.1,35.1663,25.3189,5,0.9
2022 MAR 20,05 41 37.1,38.0919,23.2567,13,2.0
2022 MAR 20,08 41 59.3,38.5231,21.6188,11,2.1
2022 MAR 20,09 11 01.5,38.0809,22.8264,12,2.5
2022 MAR 20,09 17 02.9,36.8980,22.6781,9,2.7
2022 MAR 20,10 08 32.4,35.1704,25.3203,5,1.5
2022 MAR 20,11 00 15.4,37.7994,21.8546,25,1.9
2022 MAR 20,11 32 15.2,38.6833,22.8145,11,1.7
2022 MAR 20,11 47 14.4,35.7083,23.6215,12,4.0
2022 MAR 20,13 05 04.1,38.2420,23.3940,9,1.4
2022 MAR 20,13 33 25.9,38.3803,21.8550,11,1.4
2022 MAR 20,13 37 50.9,38.3171,23.3720,7,1.8
2022 MAR 20,14 18 24.0,35.1631,25.3249,6,2.1
2022 MAR 20,14 27 21.8,38.1441,21.5703,26,2.2
2022 MAR 20,14 43 46.7,35.1659,25.3249,6,2.2
2022 MAR 20,16 50 59.6,35.1613,25.3166,6,2.6
2022 MAR 20,17 04 49.2,35.1549,25.3203,8,3.7
2022 MAR 20,18 05 42.3,35.1604,25.3120,6,2.5
2022 MAR 20,18 23 54.8,35.1631,25.3331,7,2.1
2022 MAR 20,19 21 31.6,35.1686,25.3276,6,1.9
2022 MAR 20,19 51 29.4,35.1631,25.3249,6,1.5
2022 MAR 20,20 11 11.2,35.1604,25.3120,6,1.7
2022 MAR 20,20 28 21.6,35.1443,25.2951,19,2.0
2022 MAR 20,20 31 54.5,35.1640,25.3377,6,1.5
2022 MAR 20,20 40 17.7,37.9688,26.7188,17,3.3
2022 MAR 20,20 51 52.1,38.4348,25.4855,12,3.1
2022 MAR 20,21 18 02.0,35.1732,25.3267,7,1.3
2022 MAR 20,21 25 26.5,35.1704,25.3313,7,1.6
2022 MAR 20,21 43 40.9,35.1677,25.3230,6,1.9
2022 MAR 20,22 18 36.8,34.6600,25.2960,15,2.0
2022 MAR 20,22 24 01.1,35.1613,25.3047,14,2.9
2022 MAR 20,22 49 34.8,40.2873,21.1757,7,2.6
2022 MAR 20,22 50 43.3,35.1631,25.3276,5,2.0
2022 MAR 20,23 13 19.1,35.1645,25.3262,6,1.7
2022 MAR 20,23 22 50.3,35.1718,25.3354,7,1.8
2022 MAR 21,01 09 25.3,38.2539,23.3830,5,1.0
2022 MAR 21,01 11 29.6,38.1381,22.5595,18,1.7
2022 MAR 21,01 26 10.3,35.1457,25.3075,8,2.7
2022 MAR 21,02 16 42.3,35.1622,25.3130,6,1.6
2022 MAR 21,02 27 47.6,38.2997,21.5218,7,2.1
2022 MAR 21,02 54 41.4,38.2759,21.5556,7,1.9
2022 MAR 21,03 23 02.8,36.9914,23.0910,15,2.3
2022 MAR 21,03 23 47.6,35.2103,25.3281,7,1.3
2022 MAR 21,03 28 34.2,35.1631,25.3276,8,2.0
2022 MAR 21,04 17 44.9,35.1260,25.4617,16,1.8
2022 MAR 21,04 54 20.9,38.3885,22.2734,13,1.4
2022 MAR 21,05 18 57.1,35.1970,25.3358,7,1.4
2022 MAR 21,05 54 06.1,35.1704,25.3139,6,1.7
2022 MAR 21,06 31 36.1,35.1869,25.3276,7,1.1
2022 MAR 21,06 38 06.7,37.2556,20.4044,10,2.4
2022 MAR 21,07 22 27.9,35.1375,25.2269,13,1.9
2022 MAR 21,07 39 48.6,36.5588,21.7639,24,4.1
2022 MAR 21,08 24 44.7,35.1640,25.3185,6,2.0
2022 MAR 21,08 54 47.4,35.1649,25.3276,5,1.8
2022 MAR 21,08 55 15.8,35.1503,25.3230,6,2.1
2022 MAR 21,09 54 51.8,35.1714,25.3139,6,1.8
2022 MAR 21,10 11 27.6,38.8765,22.8658,8,2.8
2022 MAR 21,11 02 09.4,35.1169,23.0594,15,2.9
2022 MAR 21,11 05 16.8,38.1203,23.4041,9,1.6
2022 MAR 21,11 20 37.6,35.1704,25.3185,6,2.1
2022 MAR 21,12 09 30.3,38.3070,23.3730,7,1.4
2022 MAR 21,12 09 39.5,35.1608,25.3171,6,2.5
2022 MAR 21,13 29 09.8,37.4785,21.6902,14,3.7
2022 MAR 21,13 30 38.7,37.4373,21.6344,16,2.2
2022 MAR 21,13 38 08.5,35.1613,25.3166,8,2.4
2022 MAR 21,13 42 45.9,38.2961,23.4023,14,1.4
2022 MAR 21,13 42 46.4,37.4767,21.7534,16,2.0
2022 MAR 21,13 54 02.8,35.1700,25.3226,10,2.4
2022 MAR 21,14 11 19.2,35.1622,25.3020,15,2.9
2022 MAR 21,14 16 45.3,35.1604,25.3102,6,1.9
2022 MAR 21,14 24 23.3,38.3524,22.0889,7,1.1
2022 MAR 21,14 45 32.6,35.1686,25.3349,8,1.3
2022 MAR 21,14 46 03.5,35.1613,25.3423,8,1.2
2022 MAR 21,15 10 14.4,37.4977,21.7827,15,1.5
2022 MAR 21,15 10 16.3,38.0388,21.5840,6,1.3
2022 MAR 21,15 16 48.1,35.1856,25.3284,8,2.1
2022 MAR 21,16 00 49.2,35.1205,25.2713,10,1.2
2022 MAR 21,16 01 16.2,35.1833,25.3239,9,1.5
2022 MAR 21,16 22 17.9,34.6861,23.8893,17,2.9
2022 MAR 21,16 46 19.3,35.1649,25.3230,7,2.6
2022 MAR 21,16 53 33.5,35.1677,25.3139,5,1.9
2022 MAR 21,16 58 22.0,35.1183,25.2269,14,1.2
2022 MAR 21,19 25 57.9,35.1668,25.3212,5,1.8
2022 MAR 21,20 25 26.6,35.1540,25.3148,7,2.5
2022 MAR 21,20 25 34.3,35.1645,25.3262,5,2.7
2022 MAR 21,20 26 48.5,35.1558,25.3203,5,1.8
2022 MAR 21,21 09 38.0,35.1347,25.2809,15,3.1
2022 MAR 21,21 22 44.1,35.1695,25.3523,7,2.0
2022 MAR 21,22 11 32.7,35.1659,25.3157,8,3.0
2022 MAR 21,22 18 03.3,35.1590,25.3207,6,2.6
2022 MAR 21,22 23 01.7,35.1677,25.3239,16,1.9
2022 MAR 21,22 34 28.3,35.1668,25.3166,18,1.8
2022 MAR 21,22 46 45.7,35.1558,25.3120,14,2.7
2022 MAR 21,23 00 03.3,35.1622,25.3111,6,3.1
2022 MAR 21,23 03 58.9,35.1576,25.3093,15,2.3
2022 MAR 21,23 20 11.1,35.2034,25.3285,9,1.6
2022 MAR 21,23 31 42.4,35.1677,25.3166,6,1.0
2022 MAR 21,23 33 15.1,35.1549,25.3139,6,1.7
2022 MAR 21,23 47 15.9,35.1585,25.3752,9,1.9
2022 MAR 22,01 17 32.6,35.1448,25.1930,9,1.1
2022 MAR 22,01 41 10.5,39.7421,22.1841,20,1.6
2022 MAR 22,02 29 00.4,35.1631,25.3477,8,1.8
2022 MAR 22,02 59 18.2,39.5082,23.6412,16,2.7
2022 MAR 22,04 11 48.0,39.7641,22.0853,17,2.0
2022 MAR 22,05 16 48.7,35.1704,25.3230,7,1.8
2022 MAR 22,05 49 35.8,35.1833,25.3148,10,1.8
2022 MAR 22,06 54 01.6,34.8386,25.3445,13,2.8
2022 MAR 22,07 30 17.3,38.3400,21.8147,6,1.1
2022 MAR 22,09 20 52.0,35.2011,25.3281,7,1.1
2022 MAR 22,09 50 27.7,35.1695,25.3349,6,2.4
2022 MAR 22,10 36 11.7,37.0065,21.0013,6,2.4
2022 MAR 22,11 18 19.9,35.7504,23.3011,11,3.5
2022 MAR 22,11 49 51.8,35.1846,25.3336,8,1.9
2022 MAR 22,12 37 20.5,35.1320,25.2315,12,2.7
2022 MAR 22,13 39 17.4,34.8550,23.5117,10,3.2
2022 MAR 22,14 02 34.2,35.0217,23.3633,20,3.9
2022 MAR 22,14 04 26.1,34.8532,23.3469,17,3.6
2022 MAR 22,14 56 15.6,35.1585,25.3102,6,2.2
2022 MAR 22,15 12 30.1,38.0443,22.8346,17,1.9
2022 MAR 22,15 23 51.4,34.8354,25.3716,20,2.4
2022 MAR 22,15 25 23.1,34.5062,27.0685,10,3.8
2022 MAR 22,16 27 39.7,34.7891,23.3267,11,2.3
2022 MAR 22,16 47 17.1,35.1631,25.3130,7,2.4
2022 MAR 22,16 49 17.0,38.4306,21.9978,10,1.8
2022 MAR 22,16 54 12.8,38.2603,22.3521,9,1.2
2022 MAR 22,16 59 27.8,38.8751,22.5385,35,1.7
2022 MAR 22,17 14 00.0,38.2722,23.4114,6,1.5
2022 MAR 22,18 16 10.5,38.4526,21.8962,11,1.5
2022 MAR 22,18 30 26.7,35.1640,25.3212,6,1.9
2022 MAR 22,19 30 27.8,34.9136,26.3754,17,3.6
2022 MAR 22,19 44 26.0,40.3958,26.0971,14,2.6
2022 MAR 22,19 56 05.5,39.7220,22.1347,8,1.6
2022 MAR 22,20 23 50.8,35.1823,25.3322,8,1.9
2022 MAR 22,22 04 27.6,37.1773,21.3698,16,2.2
2022 MAR 22,23 18 08.1,35.2121,25.3079,8,1.6
2022 MAR 22,23 27 16.4,35.1736,25.3226,6,1.6
2022 MAR 22,23 51 29.7,35.1796,25.3166,6,1.4
2022 MAR 23,00 24 49.4,35.7408,24.3471,45,3.6
2022 MAR 23,01 02 11.5,38.4242,21.9173,10,1.4
2022 MAR 23,01 44 35.7,35.1604,25.2965,5,2.4
2022 MAR 23,01 56 39.2,38.3015,23.3629,10,1.3
2022 MAR 23,02 51 26.1,35.1915,25.3368,7,1.5
2022 MAR 23,02 56 00.4,35.1604,25.3084,5,2.0
2022 MAR 23,03 52 23.3,37.1878,21.4243,22,2.3
2022 MAR 23,04 40 52.5,39.6323,21.9827,16,2.2
2022 MAR 23,05 01 55.6,38.5684,23.2352,16,2.0
2022 MAR 23,05 27 29.2,35.1576,25.3102,6,2.4
2022 MAR 23,05 48 48.5,41.2161,23.6069,13,2.9
2022 MAR 23,06 21 54.6,40.5904,21.5556,12,2.9
2022 MAR 23,06 50 34.3,38.3437,23.4206,7,1.3
2022 MAR 23,06 51 26.8,35.1750,25.3468,10,1.7
2022 MAR 23,06 59 19.5,35.5280,26.9550,12,3.1
2022 MAR 23,07 08 21.4,36.4471,22.7582,8,2.7
2022 MAR 23,15 10 12.9,38.4856,21.9164,16,1.1
2022 MAR 23,15 51 03.3,38.7973,21.2778,48,1.5
2022 MAR 23,15 59 34.4,35.2025,25.3221,5,1.9
2022 MAR 23,16 37 44.1,38.2860,23.4132,8,1.3
2022 MAR 23,16 41 09.9,36.3652,27.0717,11,2.9
2022 MAR 23,17 48 42.5,37.9619,21.6774,22,1.5
2022 MAR 23,18 57 49.4,38.7845,25.5679,13,2.5
2022 MAR 23,19 16 41.2,38.1097,21.6302,47,1.5
2022 MAR 23,19 36 26.8,38.7227,23.3519,14,1.9
2022 MAR 23,20 05 03.8,35.2254,25.4027,7,2.3
2022 MAR 23,20 52 46.9,35.0143,23.2040,26,3.3
2022 MAR 23,21 52 04.9,34.9635,25.2571,13,2.1
2022 MAR 23,21 52 49.0,38.2640,22.0839,13,0.9
2022 MAR 23,21 57 10.7,39.0715,21.6820,14,1.9
2022 MAR 23,22 11 15.7,37.1732,21.3913,14,2.1
2022 MAR 23,22 48 15.0,35.0327,24.2020,20,3.0
2022 MAR 23,23 13 00.1,35.3792,25.3633,10,2.2
2022 MAR 23,23 41 38.3,39.2752,22.3489,12,1.5
2022 MAR 23,23 57 59.2,38.4943,21.8756,8,0.1
2022 MAR 24,00 16 06.0,38.3601,23.3080,10,0.9
2022 MAR 24,00 38 46.4,37.8204,20.9894,26,2.0
2022 MAR 24,00 43 31.9,40.4549,21.0622,16,1.9
2022 MAR 24,00 49 20.2,35.2020,25.3217,7,1.3
2022 MAR 24,01 05 52.2,37.5252,23.6128,17,2.1
2022 MAR 24,01 19 44.1,37.1786,21.3803,17,2.5
2022 MAR 24,04 19 10.8,39.5746,23.9374,18,2.5
2022 MAR 24,05 15 37.1,41.0023,21.2270,5,2.6
2022 MAR 24,06 12 53.8,38.8554,20.9569,15,1.6
2022 MAR 24,06 56 14.3,38.0937,21.9759,22,3.3
2022 MAR 24,07 33 44.1,38.3400,23.4618,6,1.1
2022 MAR 24,09 15 26.3,38.0370,21.8953,26,2.1
2022 MAR 24,09 20 13.7,34.6014,25.5341,28,2.9
2022 MAR 24,11 04 44.4,38.0745,23.4636,20,1.7
2022 MAR 24,11 29 05.3,38.1139,23.4535,6,1.3
2022 MAR 24,12 13 58.3,35.1585,25.3093,6,2.5
2022 MAR 24,12 41 56.6,35.1622,25.3139,6,2.1
2022 MAR 24,14 25 44.6,35.1659,25.3239,6,2.1
2022 MAR 24,14 51 00.3,35.1604,25.3130,6,2.2
2022 MAR 24,15 10 48.5,37.5233,23.6293,11,2.3
2022 MAR 24,15 16 11.7,38.4274,21.6989,13,1.0
2022 MAR 24,16 15 43.6,35.0308,24.2313,37,2.3
2022 MAR 24,17 18 46.2,39.1502,23.6861,13,2.0
2022 MAR 24,17 49 05.0,35.1906,25.3157,12,2.0
2022 MAR 24,18 09 12.2,36.7850,27.9684,29,2.6
2022 MAR 24,18 26 13.7,39.5375,25.9346,13,1.7
2022 MAR 24,19 00 05.1,38.1047,20.5449,22,2.1
2022 MAR 24,19 56 17.1,38.3125,22.1901,8,1.6
2022 MAR 24,19 57 15.3,38.3221,22.2052,9,1.1
2022 MAR 24,20 00 47.7,38.8559,23.5501,12,1.5
2022 MAR 24,20 55 56.5,38.0598,20.4753,17,1.6
2022 MAR 24,20 58 43.2,37.5517,23.6037,17,2.0
2022 MAR 24,21 25 33.1,35.1714,25.3093,5,1.7
2022 MAR 24,21 29 18.7,38.2599,23.3844,14,1.0
2022 MAR 24,21 30 04.2,35.1659,25.3185,7,1.2
2022 MAR 24,21 55 13.2,35.0340,24.2207,30,2.6
2022 MAR 24,22 00 43.6,38.3199,23.3629,7,1.8
2022 MAR 24,22 21 38.4,37.4139,20.7477,73,2.2
2022 MAR 24,22 36 03.2,35.1768,25.3441,17,1.5
2022 MAR 24,22 41 57.0,35.1915,25.2745,13,1.7
2022 MAR 24,22 43 18.3,37.5435,23.6018,14,1.6
2022 MAR 24,23 25 19.4,38.3226,23.3492,7,1.2
2022 MAR 24,23 52 12.2,38.7520,23.5139,15,1.5
2022 MAR 25,00 23 02.8,38.8206,21.9209,12,1.5
2022 MAR 25,00 57 02.2,37.6433,24.1878,11,1.6
2022 MAR 25,01 17 06.0,40.3642,25.8540,12,2.0
2022 MAR 25,02 08 08.0,38.3208,23.3556,8,1.7
2022 MAR 25,02 13 09.3,38.3043,22.0638,77,2.5
2022 MAR 25,02 30 34.5,36.6563,22.9427,17,1.9
2022 MAR 25,02 50 08.4,40.0658,21.3405,16,1.4
2022 MAR 25,02 55 04.0,39.4029,20.5348,16,2.0
2022 MAR 25,03 10 04.4,39.0056,26.0957,14,2.3
2022 MAR 25,03 48 02.5,35.1682,25.3171,6,1.2
2022 MAR 25,05 20 19.2,35.1631,25.3120,5,1.1
2022 MAR 25,05 44 06.2,37.3801,21.5579,20,1.8
2022 MAR 25,05 45 53.1,37.4419,21.4284,16,2.1
2022 MAR 25,05 51 36.5,37.3700,21.4801,6,1.8
2022 MAR 25,05 54 23.2,37.4295,21.4023,11,2.1
2022 MAR 25,05 57 09.6,34.9521,23.1180,26,3.0
2022 MAR 25,06 04 40.9,37.4405,21.4920,16,1.7
2022 MAR 25,06 08 32.0,38.3125,23.3876,11,1.5
2022 MAR 25,07 04 06.0,34.9063,25.2731,8,1.9
2022 MAR 25,07 37 09.8,34.8834,23.0804,27,2.5
2022 MAR 25,08 06 31.6,38.2677,23.3629,5,0.5
2022 MAR 25,09 18 34.1,35.1549,25.3120,8,2.5
2022 MAR 25,10 44 38.9,35.1714,25.3203,5,1.1
2022 MAR 25,10 48 11.9,35.1823,25.3249,7,1.6
2022 MAR 25,10 49 38.2,39.3663,20.6117,10,1.5
2022 MAR 25,11 21 20.4,35.1476,25.3111,7,2.0
2022 MAR 25,11 40 47.0,35.1659,25.3249,6,1.8
2022 MAR 25,11 50 37.8,39.2221,19.8550,34,2.3
2022 MAR 25,11 59 35.7,35.1631,25.3221,6,1.9
2022 MAR 25,13 34 48.1,38.6357,22.9042,12,1.9
2022 MAR 25,13 42 00.4,38.2054,20.7756,26,1.3
2022 MAR 25,14 05 02.7,35.1540,25.2983,11,2.7
2022 MAR 25,14 15 15.4,35.1595,25.3263,6,1.9
2022 MAR 25,15 04 57.8,40.6929,22.8703,13,1.7
2022 MAR 25,15 39 59.5,35.1733,25.3038,6,2.0
2022 MAR 25,16 24 45.2,37.1915,21.4169,21,2.1
2022 MAR 25,17 10 04.5,38.9827,21.0979,16,1.9
2022 MAR 25,18 36 13.1,38.9479,26.7155,13,2.8
2022 MAR 25,18 39 31.1,38.8948,23.0177,13,2.9
2022 MAR 25,18 44 12.9,39.0569,23.3849,15,1.4
2022 MAR 25,18 56 58.8,35.1645,25.3171,8,1.2
2022 MAR 25,19 04 17.1,35.7834,23.1656,10,2.6
2022 MAR 25,19 16 07.9,38.3139,23.3835,9,1.3
2022 MAR 25,20 13 28.9,38.8280,20.9880,18,2.0
2022 MAR 25,21 37 39.7,38.2997,20.7939,12,1.5
2022 MAR 25,21 42 07.3,38.9255,26.1740,13,2.1
2022 MAR 25,21 51 33.3,38.2993,23.3597,10,1.0
2022 MAR 25,21 51 39.5,38.6577,22.8648,7,1.1
2022 MAR 25,22 00 33.8,39.3187,23.8820,16,2.7
2022 MAR 25,22 03 23.5,35.1704,25.3166,6,1.8
2022 MAR 25,22 29 28.2,36.8697,21.8275,17,2.2
2022 MAR 25,22 39 04.4,38.3702,22.2826,9,1.2
2022 MAR 25,22 41 21.8,38.2896,22.3302,5,1.2
2022 MAR 25,22 41 34.0,38.2512,20.5550,13,0.7
2022 MAR 25,22 51 05.1,36.2064,22.9147,10,2.1
2022 MAR 25,22 56 28.7,38.3958,21.9978,7,1.9
2022 MAR 25,23 34 49.7,38.3670,22.0267,12,1.6
2022 MAR 25,23 53 58.5,34.8537,24.2519,24,2.4
2022 MAR 25,23 56 21.7,35.1622,25.3258,8,0.9
2022 MAR 26,00 11 30.1,37.8053,21.2306,14,1.3
2022 MAR 26,00 27 00.0,35.1604,25.3276,7,1.5
2022 MAR 26,00 37 18.9,38.1450,23.3757,8,0.9
2022 MAR 26,00 56 44.8,38.1779,22.6506,9,1.4
2022 MAR 26,00 58 18.9,38.8344,22.8712,15,1.1
2022 MAR 26,01 21 35.8,38.3043,23.4325,8,1.4
2022 MAR 26,01 33 27.4,38.4068,21.9182,6,0.8
2022 MAR 26,01 52 34.5,40.1042,21.5794,13,1.4
2022 MAR 26,01 53 27.6,39.3645,20.6035,8,0.8
2022 MAR 26,01 58 57.4,38.2841,23.3849,13,0.8
2022 MAR 26,01 58 59.3,35.1228,25.2882,6,1.0
2022 MAR 26,02 01 14.0,35.1805,25.3166,7,1.8
2022 MAR 26,02 06 36.3,38.7520,21.2315,17,1.3
2022 MAR 26,02 07 16.9,38.1477,20.4112,11,0.8
2022 MAR 26,02 33 18.7,41.0674,21.1986,16,1.6
2022 MAR 26,02 34 10.4,41.0092,21.1295,7,2.3
2022 MAR 26,02 58 17.6,36.2613,22.9166,21,2.4
2022 MAR 26,03 22 56.6,36.2411,22.9752,18,2.2
2022 MAR 26,03 26 50.2,36.2869,23.0649,15,2.2
2022 MAR 26,03 27 02.8,35.1091,25.1793,12,1.1
2022 MAR 26,03 33 01.9,34.9022,24.2555,15,1.9
2022 MAR 26,04 06 20.5,36.2054,22.9083,12,2.2
2022 MAR 26,04 39 25.2,35.1865,25.3244,6,2.2
2022 MAR 26,05 49 17.5,38.4318,22.0614,5,0.9
2022 MAR 26,06 08 10.9,38.2951,23.3363,8,1.1
2022 MAR 26,07 17 48.7,36.2803,23.1171,5,2.8
2022 MAR 26,07 33 15.3,37.9413,21.1359,16,1.3
2022 MAR 26,08 31 55.9,38.8486,21.0068,6,1.4
2022 MAR 26,09 30 45.9,36.2405,22.8303,5,2.5
2022 MAR 26,10 01 34.5,38.4169,21.8587,12,1.9
2022 MAR 26,10 43 27.1,36.5424,23.4576,14,2.4
2022 MAR 26,10 55 55.1,38.0873,21.6701,23,0.7
2022 MAR 26,10 57 23.2,35.1695,25.3194,6,1.0
2022 MAR 26,11 24 52.1,35.1915,25.3065,5,1.9
2022 MAR 26,11 26 30.4,38.3652,23.5428,8,1.2
2022 MAR 26,11 49 03.1,38.3034,23.3803,6,1.3
2022 MAR 26,12 40 25.1,35.7056,22.6099,76,2.6
2022 MAR 26,12 51 37.3,39.0916,21.6957,9,2.3
2022 MAR 26,13 14 09.9,35.1915,25.3331,5,0.9
2022 MAR 26,16 48 08.8,35.1988,25.3065,6,1.8
2022 MAR 26,18 17 55.5,38.1551,23.0910,6,1.0
2022 MAR 26,18 53 14.9,38.2402,20.3526,12,1.7
2022 MAR 26,19 38 06.2,35.1695,25.3093,5,1.1
2022 MAR 26,20 35 21.7,38.1633,23.1075,14,1.4
2022 MAR 26,21 16 04.0,35.5623,23.8902,22,1.8
2022 MAR 26,21 19 23.8,34.8322,26.9769,6,2.6
2022 MAR 26,22 19 01.9,38.1624,23.0974,16,1.4
2022 MAR 26,22 31 51.7,35.1091,25.2058,14,1.4
2022 MAR 26,22 32 55.1,35.1700,23.1271,33,1.9
2022 MAR 26,22 39 33.0,35.1118,25.1857,14,1.5
2022 MAR 26,23 32 39.5,38.3794,21.9273,10,1.8
2022 MAR 27,00 06 52.4,38.3267,23.4274,10,1.0
2022 MAR 27,01 16 38.0,33.3618,26.4185,35,2.7
2022 MAR 27,01 21 48.0,37.9985,25.9621,19,1.9
2022 MAR 27,02 47 18.9,35.1668,25.2489,7,1.7
2022 MAR 27,02 54 03.9,35.1970,25.2763,6,0.9
2022 MAR 27,02 59 39.9,35.1732,25.2507,6,1.4
2022 MAR 27,03 04 18.4,36.2192,22.8653,11,2.1
2022 MAR 27,03 34 46.1,38.3098,23.3803,6,0.8
2022 MAR 27,04 14 56.1,41.4651,19.8257,20,2.1
2022 MAR 27,04 22 50.5,38.3304,23.4201,9,1.0
2022 MAR 27,04 24 34.1,35.1778,25.3322,7,0.7
2022 MAR 27,04 35 54.8,35.1585,25.3020,6,0.7
2022 MAR 27,04 39 39.8,39.6455,20.3801,20,1.4
2022 MAR 27,04 40 25.6,38.6270,21.4957,22,0.5
2022 MAR 27,05 13 58.1,37.5755,21.0942,13,1.3
2022 MAR 27,05 27 11.8,38.3537,22.2670,12,1.5
2022 MAR 27,06 07 39.0,35.1402,25.1921,9,1.7
2022 MAR 27,06 43 14.0,38.3217,23.3849,12,0.8
2022 MAR 27,08 20 39.1,37.8117,21.2407,26,1.6
2022 MAR 27,08 21 07.6,36.9978,27.6796,10,2.9
2022 MAR 27,09 10 09.8,34.5639,25.4471,22,2.2
2022 MAR 27,10 12 36.9,38.2988,23.3574,11,2.6
2022 MAR 27,10 12 56.8,38.2869,23.3510,6,1.7
2022 MAR 27,10 37 18.2,38.3162,23.3720,14,2.3
2022 MAR 27,10 39 51.0,35.3448,27.0831,10,2.8
2022 MAR 27,10 42 58.2,35.1585,25.2946,6,0.5
2022 MAR 27,10 44 44.6,38.3652,22.1146,7,0.7
2022 MAR 27,11 14 27.7,35.1677,25.3038,5,1.5
2022 MAR 27,11 14 35.7,35.1247,25.2306,7,1.6
2022 MAR 27,11 21 25.7,37.2849,20.4794,19,1.8
2022 MAR 27,11 42 25.3,38.3070,23.3638,10,1.9
2022 MAR 27,12 29 15.7,38.0635,22.7028,13,2.1
2022 MAR 27,12 56 19.7,38.2755,21.6422,20,0.7
